nm,sc,mc,lc,rh,mel,v
488,0.211726000,0.434851000,0.266252000,0.884000000,0.998008000,0.191273500000
489,0.197960000,0.445097000,0.274202000,0.894000000,0.999461000,0.199418000000
490,0.185297000,0.456137000,0.282752000,0.904000000,1.000000000,0.208020000000
491,0.173751000,0.468236000,0.292071000,0.914000000,0.999561000,0.217119900000
492,0.163149000,0.481255000,0.302094000,0.923000000,0.998365000,0.226734500000
493,0.153311000,0.494927000,0.312673000,0.932000000,0.996590000,0.236857100000
494,0.144086000,0.508947000,0.323637000,0.941000000,0.994416000,0.247481200000
495,0.135351000,0.522970000,0.334786000,0.949000000,0.992022000,0.258600000000
496,0.127011000,0.536701000,0.345943000,0.957000000,0.988792000,0.270184900000
497,0.119017000,0.550195000,0.357126000,0.964000000,0.984220000,0.282293900000
498,0.111333000,0.563616000,0.368416000,0.970000000,0.978657000,0.295050500000
499,0.103934000,0.577150000,0.379907000,0.976000000,0.972451000,0.308578000000
500,0.096799000,0.591003000,0.391705000,0.982000000,0.965952000,0.323000000000
501,0.089916900,0.605350000,0.403905000,0.986000000,0.958844000,0.338402100000
502,0.083287800,0.620160000,0.416500000,0.990000000,0.950716000,0.354685800000
503,0.076915700,0.635343000,0.429453000,0.994000000,0.941778000,0.371698600000
504,0.070805200,0.650796000,0.442720000,0.997000000,0.932236000,0.389287500000
505,0.064961400,0.666404000,0.456252000,0.998000000,0.922299000,0.407300000000
506,0.059404900,0.682055000,0.469997000,1.000000000,0.911832000,0.425629900000
507,0.054207600,0.697672000,0.483926000,1.000000000,0.900602000,0.444309600000
508,0.049428100,0.713186000,0.498012000,1.000000000,0.888663000,0.463394400000
509,0.045099300,0.728526000,0.512227000,0.998000000,0.876073000,0.482939500000
510,0.041233700,0.743612000,0.526538000,0.997000000,0.862888000,0.503000000000
511,0.037814200,0.758396000,0.540923000,0.994000000,0.848801000,0.523569300000
512,0.034762700,0.772966000,0.555406000,0.990000000,0.833678000,0.544512000000
513,0.032002900,0.787457000,0.570025000,0.986000000,0.817832000,0.565690000000
514,0.029474600,0.802017000,0.584828000,0.981000000,0.801579000,0.586965300000
515,0.027130000,0.816808000,0.599867000,0.975000000,0.785233000,0.608200000000
516,0.024937600,0.831919000,0.615162000,0.968000000,0.768718000,0.629345600000
517,0.022893100,0.847096000,0.630569000,0.961000000,0.751807000,0.650306800000
518,0.020995600,0.861972000,0.645883000,0.953000000,0.734593000,0.670875200000
519,0.019242700,0.876152000,0.660880000,0.944000000,0.717169000,0.690842400000
520,0.017629800,0.889214000,0.675313000,0.935000000,0.699628000,0.710000000000
521,0.016150100,0.900812000,0.688975000,0.925000000,0.681888000,0.728185200000
522,0.014791100,0.911006000,0.701886000,0.915000000,0.663881000,0.745463600000
523,0.013540700,0.919968000,0.714140000,0.904000000,0.645724000,0.761969400000
524,0.012388400,0.927890000,0.725841000,0.892000000,0.627533000,0.777836800000
525,0.011325200,0.934977000,0.737108000,0.880000000,0.609422000,0.793200000000
526,0.010343700,0.941414000,0.748046000,0.867000000,0.591339000,0.808110400000
527,0.009440920,0.947279000,0.758684000,0.854000000,0.573207000,0.822496200000
528,0.008613650,0.952622000,0.769032000,0.840000000,0.555105000,0.836306800000
529,0.007858310,0.957498000,0.779099000,0.826000000,0.537112000,0.849491600000
530,0.007170890,0.961962000,0.788900000,0.811000000,0.519309000,0.862000000000
531,0.006546480,0.966080000,0.798472000,0.796000000,0.501645000,0.873810800000
532,0.005977770,0.969966000,0.807945000,0.781000000,0.484067000,0.884962400000
533,0.005457940,0.973743000,0.817478000,0.765000000,0.466643000,0.895493600000
534,0.004981250,0.977539000,0.827239000,0.749000000,0.449442000,0.905443200000
535,0.004542870,0.981481000,0.837403000,0.733000000,0.432533000,0.914850100000
536,0.004139080,0.985629000,0.848078000,0.717000000,0.415862000,0.923734800000
537,0.003767940,0.989754000,0.859064000,0.700000000,0.399372000,0.932092400000
538,0.003427830,0.993551000,0.870068000,0.683000000,0.383136000,0.939922600000
539,0.003116960,0.996714000,0.880779000,0.667000000,0.367224000,0.947225200000
540,0.002833520,0.998931000,0.890871000,0.650000000,0.351707000,0.954000000000
541,0.002575560,0.999942000,0.900057000,0.633000000,0.336537000,0.960256100000
542,0.002340840,0.999692000,0.908253000,0.616000000,0.321647000,0.966007400000
543,0.002127220,0.998178000,0.915433000,0.599000000,0.307085000,0.971260600000
544,0.001932760,0.995405000,0.921575000,0.581000000,0.292899000,0.976022500000
545,0.001755730,0.991383000,0.926660000,0.564000000,0.279135000,0.980300000000
546,0.001594550,0.986199000,0.930744000,0.548000000,0.265737000,0.984092400000
547,0.001447830,0.980229000,0.934160000,0.531000000,0.252648000,0.987418200000
548,0.001314300,0.973906000,0.937318000,0.514000000,0.239917000,0.990312800000
549,0.001192810,0.967653000,0.940634000,0.497000000,0.227592000,0.992811600000
550,0.001082300,0.961876000,0.944527000,0.481000000,0.215722000,0.994950100000
551,0.000981819,0.956820000,0.949291000,0.465000000,0.204238000,0.996710800000
552,0.000890533,0.952151000,0.954680000,0.448000000,0.193075000,0.998098300000
553,0.000807687,0.947398000,0.960309000,0.433000000,0.182288000,0.999112000000
554,0.000732568,0.942105000,0.965785000,0.417000000,0.171930000,0.999748200000
555,0.000664512,0.935829000,0.970703000,0.402000000,0.162056000,1.000000000000
